node_id,is_accused,is_witness,gender_female,gender_male,gender_unknown,in_degree,out_degree
Fleurant Blaise de Hernafain,0,1,0,0,1,0,1
"Witch 280: B8715 no 3, Claudatte femme Lambert Claudel Ferry de Vicq",1,0,0,0,1,7,0
Hannix fille Husson Bourguignon,0,1,0,0,1,0,1
"B 4103; witch 076, Didelon l'Huillier et sa femme Bietrix, de Gripport",1,0,0,0,1,15,0
Demenge Jacquot de la Neufville,0,1,0,0,1,0,1
"B 8736; witch 314, Sebille fille Didier Pescheur de la Neufville les Raon",1,0,0,0,1,8,0
Nicolas Sellier de Charmes,0,1,0,0,1,0,1
"B 4077 no 2 Witch 070, Claudon la Romaine",1,0,0,0,1,5,0
Jean Voirin,0,1,0,0,1,0,1
"B 8721 no 6. Witch 298, Catherine femme Jean le Maire, of Le Paire (Saulcy-sur-",1,0,0,0,1,17,0
Chrepien Cesar Chrepien,0,1,0,0,1,0,1
"Witch 145: B8667 no 7, Colas Mengin de Saint Remy",1,0,0,0,1,26,0
Laurent Maurisse de Bathelemont,0,1,0,0,1,0,1
"B 5769; witch 106, Babillon femme Claudon Girard de Bathelemont-les-Bauzemont",1,0,0,0,1,68,0
Dieudonnée femme Jacquin Frampart,0,1,0,0,1,0,1
"B 8687 no 4; witch 202, Penthecoste femme Georgeon Didier Miette de la Rochatte",1,0,0,0,1,14,0
Meline femme Anthoine Marlier,0,1,0,0,1,0,1
"B 3323 no 1; witch 025, Jeannotte veuve Claudon Toussaint, de Leintrey.",1,0,0,0,1,19,0
Pieron Jean Pieron,0,1,0,0,1,0,1
B 8684 no 10. Witch 197; Claudatte veuve Mengeon Henry and Dieudonnée femme,1,0,0,0,1,22,0
Claudel Remy du Void de Belmont,0,1,0,0,1,0,1
"B 3728; witch 055, Jeanne veuve Valentin Claude Thihard du Void de Belmont",1,0,0,0,1,26,0
Valentine femme Jean Michiel,0,1,0,0,1,0,2
"B 8721 no 5; Witch 297, Beniste le Houff de Norbepaire (Wisembach)",1,0,0,0,1,14,0
Nicolas Brabant,0,1,0,0,1,0,1
"B 8535 no 4; witch 136, Mengin Lamourou paistre de Rozieres",1,0,0,0,1,9,0
Colas Le Maire de Leusse,0,1,0,0,1,0,1
"B 8693 no 1; witch 230, Marion femme Demenge Husson, de Colroy",1,0,0,0,1,32,0
Jacquatte veuve Vaultrin Contal,0,1,0,0,1,0,1
"B 8979 no 5; witch 328, Jehanne Villaume, veuve Pierre Louvet, drappier de St",1,0,0,0,1,4,0
Colas Mandray de Raves,0,1,0,0,1,0,1
Catherine femme a Jean Reillemant de la Chapelle,0,1,0,0,1,0,1
George Mengin de La Bolle,0,1,0,0,1,0,1
"B 8667 No 5 (1) Witch 143, Jean Diez",1,0,0,0,1,15,0
Henry Errard,0,1,0,0,1,0,1
"B 4495; witch 082, Claudon la Blanche, veuve Claudon Aulbry, de St Prancher",1,0,0,0,1,20,0
Jean des Auches de la Chapelle,0,1,0,0,1,0,2
"Witch 160: B8677 no 6, Blasotte femme Claudon Collon de La Chapelle",1,0,0,0,1,41,0
"Witch 163; B8667 no 9, Jehenne femme Demenge le Maire, de La Chapelle",1,0,0,0,1,19,0
Claude Moictrier,0,1,0,0,1,0,1
"B 6723 no 1: witch 107, Mengette femme Jean Cachette de Flin",1,0,0,0,1,38,0
Nicolas Claude Girard,0,1,0,0,1,0,1
"B 8707 no 7; witch 259, Jean Seigaire de Nompatelize",1,0,0,0,1,7,0
Benay Grand Maire de la bonne fontaine,0,1,0,0,1,0,1
"Mengeon femme Phillippe Masson
2 years before her daughter Jacquette became ill",0,1,0,0,1,0,1
"B 3753; witch 056, Claudette Clauchepied d'Epinal, arretée à Bruyères",1,0,0,0,1,9,0
Jean Colas Lienard,0,1,0,0,1,0,1
"B 8682 no 6; witch 184, Colatte veuve Jean le Parmentier, de Girompaire",1,0,0,0,1,11,0
Zabey femme Toussainct Gregoire,0,1,0,0,1,0,1
"B 8693 no 2; witch 231, Jean Aulbry du Vivier d'Etival",1,0,0,0,1,34,0
Jennon fille feu Jacot Simon,0,1,0,0,1,0,1
"B 8687 no 6; witch 204, Mengeatte veuve Colas Lienard de la Rochatte",1,0,0,0,1,12,0
Idatte fille de feu Didier Guerry (mother was Jean Ferry's widow,0,1,0,0,1,0,1
"B 8682 no 4; witch 182, Georgeatte fille Jean Pelisson, de Moriviller",1,0,0,0,1,15,0
Georgeatte femme Jean Mathieu le jeune,0,1,0,0,1,0,1
B 6760. Witch 109; Mengeatte veuve Grand Jacques de Rehainviller,1,0,0,0,1,37,0
Jean Anthoine,0,1,0,0,1,0,1
"B 8707 no 2; witch 254, Bastien Stablo de la Bolle",1,0,0,0,1,27,0
Margueritte fille de Colas Claudon de Gondrexon,0,1,0,0,1,0,1
"B 3325 no 1; witch 034, Claudon de Benamenil, living at Gondrexon",1,0,0,0,1,16,0
Hydoulx Grand Didier de La Vacherie,0,1,0,0,1,0,1
"B 8717 no 1; witch 284, Jennon femme Claudon Hennemant de La Vacherie (S.",1,0,0,0,1,18,0
Jehennon femme Demenge Mandray,0,1,0,0,1,0,1
Margueritte femme Nicolas Adam de Bathelemont,0,1,0,0,1,0,1
Jehennon femme Jean Didier Martin de Mazelay,0,1,0,0,1,0,1
"B 8712 no 4; witch 275, Jehennon veuve Thomas Diez Thomas de Mazelay",1,0,0,0,1,20,0
"Daultzinom de la Croix bourgeois de Ste Marie
Had two children who became ill on",0,1,0,0,1,0,1
"B 9554 no 1; witch 331, Appoline femme Bastien Belz mineur de Ste Marie",1,0,0,0,1,11,0
Jean Demenge Villaume,0,1,0,0,1,0,2
"B 8687 no 7; witch 205, Georgeatte veuve Jean Grand Didier, de la Vacherie",1,0,0,0,1,12,0
Jacot Girard Pechey,0,1,0,0,1,0,2
"B 8702 no 7; Witch 246, Claudatte femme Jean Claudel le Maimbourg, de Raves",1,0,0,0,1,10,0
Jean Diez Gaixatte,0,1,0,0,1,0,1
"B 8693 no 4; witch 233, Claude Colin Michiel dit Bejolley, de Wisembach",1,0,0,0,1,39,0
Catherine fille Vaultrin Anthoine de Haudouville,0,1,0,0,1,0,1
"B 8741; witch 315, Margueritte femme Didier Perisc de Mouriviller",1,0,0,0,1,21,0
Margueritte femme Comtin Petit Jean cordonnier,0,1,0,0,1,0,1
"B 8961 no 1. Witch 323, Claudon veuve Mengin Wannier, de St Nicolas",1,0,0,0,1,16,0
Curienne veuve Jean Aulbry,0,1,0,0,1,0,1
"B 8707 no 6; witch 258, Nicolas Pairson of le Vivier",1,0,0,0,1,23,0
Synelle veuve du feu maitre d'école,0,1,0,0,1,0,1
"B 5344 no 3; witch 100, Synnelle femme Schneyder Hanns d'Amange (Insming)",1,0,0,0,1,21,0
Bastien veuve le Gros Feltien,0,1,0,0,1,0,1
"B 5354 no 1; Witch 102, Jennon femme Lux Barquel de Blanche Eglise",1,0,0,0,1,9,0
Jean Grand Jean,0,1,0,0,1,0,5
"Witch 209; B 8689 no 1, Chrétien Pierre, Moriviller",1,0,0,0,1,16,0
"B 8691 no 4; witch 215, Meline, veuve Nicolas Charier de Raon",1,0,0,0,1,34,0
Jacquin Martin,0,1,0,0,1,0,1
"B 8678 no 2; witch 169, Marion veuve Demenge le Masson, de St Dié",1,0,0,0,1,20,0
Jacot Jean Jacot,0,1,0,0,1,0,2
"B 2583 no 5; witch 019, Jean Brice George de Xouarupt",1,0,0,0,1,17,0
"B 2583 no 7; witch 021, Royne veuve Dilan Parmentier, dite des Tartres, de",1,0,0,0,1,10,0
Ydatte femme Claudon Andreu d'Aidoile,0,1,0,0,1,0,1
"B 3789 no 4; witch 061, Ysabeau veuve Nicolas Demenge Richard, d'Aydoilles",1,0,0,0,1,17,0
Margueritte veuve Cugin Mongelay de Domjevin,0,1,0,0,1,0,1
"B 3325 no 2; witch 035, Clemence veuve Claudon Marchal, de Domjevin",1,0,0,0,1,33,0
Thouvenin Bergier,0,1,0,0,1,0,1
"B 3323 no 7; witch 031, Didier femme Nicolas le Vefue le Viel, de Leintrey",1,0,0,0,1,11,0
Mengeon Jacat,0,1,0,0,1,0,1
"B 8702 no 10; witch 249, Jennon femme Jean Pieron Geliat, de la Neuveville-les-Raon.",1,0,0,0,1,14,0
Jean Fleuratte,0,1,0,0,1,0,1
Crestienne Varnier de Bruyeres,0,1,0,0,1,0,1
"B 3789 No 3; Witch 060, Petroniere femme Jean Varnier dit Bessat, de Bruyères",1,0,0,0,1,35,0
Nicolas Henry Mongin,0,1,0,0,1,0,1
"B 8691 no 1; witch 212, François Marion de Raon",1,0,0,0,1,43,0
Roze veuve de feu le maire Mongenot Estienne de Domjevin,0,1,0,0,1,0,1
Bingel femme Luc Reise,0,1,0,0,1,0,1
"B 5344 no 4; Witch 101, Synnelle femme Schur Adam d'Amange (Insming)",1,0,0,0,1,17,0
Mongeon Jean,0,1,0,0,1,0,1
Annel veuve Virion Bergier de Domjevin,0,1,0,0,1,0,1
Honneste homme Jean Hacquart,0,1,0,0,1,0,1
"B 8673 no 2; witch 153, Jehennon femme Jean Perrin de Girovillers-sous-Montfort",1,0,0,0,1,21,0
Jean Simonin de Bussang,0,1,0,0,1,0,1
"B 2574; Witch 014; Claude Hocquart, Mengeotte Hocquart, Catherine femme",1,0,0,0,1,9,0
Pierre Grand Jean bouchier de Charmes,0,1,0,0,1,0,1
"B 4094 no 1 Witch 073, Catherine la Rondelatte",1,0,0,0,1,29,0
Demenge Loys de Repas,0,1,0,0,1,0,1
"B 3329; Witch 041, Claudatte femme Nicolas Chollat, de Repas",1,0,0,0,1,21,0
Marguitte femme Jean Anthoine de Haillieulle,0,1,0,0,1,0,1
"B 8667 No 1 Witch 139, Jehenne Stablo",1,0,0,0,1,12,0
Alizon femme Demenge Remy,0,1,0,0,1,0,2
"B 8691 no 2; witch 213, Marie veuve Martin Oudinat, de Raon",1,0,0,0,1,13,0
"B 8691 no 3; witch 214, Alix veuve Demenge Marond, de Raon",1,0,0,0,1,17,0
Agathe femme Jean Petit Jean Louys,0,1,0,0,1,0,1
"B 8684 no 6. Witch 193, Catherine femme Jean Bertremin de Clefcy",1,0,0,0,1,54,0
Francoys Melenicque,0,1,0,0,1,0,1
Benite femme Jean Andreu,0,1,0,0,1,0,1
"B 8673 no 1; witch 152, Jean Colas Claude Martin, and his sister Jennon, de Lubine",1,0,0,0,1,24,0
Claudon Bieque,0,1,0,0,1,0,1
"Vosges 3 C 239; Witch 340, Pierrotte Roy femme Nicolas Martin, de Badonviller.",1,0,0,0,1,37,0
Chrestofle Perin,0,1,0,0,1,0,1
Catherine femme Sr Jean Clerc mre echevin,0,1,0,0,1,0,1
"B 8535 no 2; witch 134, Ydatte veuve Demenge Moyne, de Rozieres",1,0,0,0,1,5,0
Claudon Fourestier d'Einville,0,1,0,0,1,0,1
"B 5757; witch 105, Sibille femme Jean Vacquaire d'Einville",1,0,0,0,1,24,0
Jean Prevost de Moyemont,0,1,0,0,1,0,2
"Witch 210; B 8689 no 2, Ulriot Colas Ulriot, Moyemont",1,0,0,0,1,16,0
"Witch 211; B 8689 no 3, Jeannon veuve Valentin Poirot, Moyemont",1,0,0,0,1,15,0
Barbeline femme Mengeon Renouard de la Voivrelle,0,1,0,0,1,0,1
"B 8708 no 8; witch 269, Jean Jacques Gerardin de la Voivrelle",1,0,0,0,1,26,0
Jean Humbert Simon de Braconcel,0,1,0,0,1,0,1
Claudon Colas Le Vieulx Homme de Sachemont,0,1,0,0,1,0,1
"B 8708 no 1; witch 262, Agathe femme Claudon Urbain, de Sachemont",1,0,0,0,1,13,0
Colas Henry Finance,0,1,0,0,1,0,1
"B 8677 no 10; Witch 164, Jeanne femme Demenge Claude Martin, de Mandray",1,0,0,0,1,12,0
Jean Bietrix,0,1,0,0,1,0,1
Claudatte femme Colas Bataille de la Vacherie,0,1,0,0,1,0,1
"B 8684 no 5; Witch 192, Barbelline veuve Demenge Mareschal, de Saulceray",1,0,0,0,1,15,0
Didier Hanna de Dompierre,0,1,0,0,1,0,1
"B 3792 no 4; witch 065, Thomasse femme Jean Poirot, de Dompierre",1,0,0,0,1,14,0
Mengeatte fille Michiel Jean le Masson,0,1,0,0,1,0,1
"B 8684 no 3. Witch 77, Françatte veuve Claudon Jardel de Clefcy",1,0,0,0,1,24,0
Didier Claude Ferry de Moriviller,0,1,0,0,1,0,1
CIaudon Jandelle de La Pelliere,0,1,0,0,1,0,1
"Witch 281; B8715 no 4, Antoine Didier Valdexey of Clemecy",1,0,0,0,1,9,0
Jean Demengeon Boudart de Xennenay,0,1,0,0,1,0,1
"B 2521 no 1; Witch 013, Jacotte femme Nicolas François Raon de Xennenay",1,0,0,0,1,24,0
Fleuratte femme Didier Pernille,0,1,0,0,1,0,1
Jennon femme Jean Mongeay de Domjevin,0,1,0,0,1,0,1
Jalnon femme Nicolas Jean de Flin,0,1,0,0,1,0,1
"B 8724 no 2. Witch 302, Jennon femme Demenge le Maire de Raon",1,0,0,0,1,54,0
Barbe femme Steffen Faulhanns,0,1,0,0,1,0,1
"B 5312 no 5; witch 095, Senelle femme Waisen Petter, de Bisping",1,0,0,0,1,14,0
Virion Cherrier homme non marié de Chazelle,0,1,0,0,1,0,1
"B 3327 no 4; Witch 040, Nicolas Raimbault de Reillon",1,0,0,0,1,16,0
Agnes veuve Jean Demenge Babel de Faing-Thiery,0,1,0,0,1,0,1
Demenge le Petit Nicolas de Robache,0,1,0,0,1,0,1
"B 8712 no 2; witch 273, Claudette femme Jean Dabo de Grattain",1,0,0,0,1,13,0
Claudel Didier maire au Ban le Duc,0,1,0,0,1,0,1
Nicolas le petit Nicolas,0,1,0,0,1,0,1
"B 8684 no 1. Witch 188, Jean Demenge le Clerc dit Mandray, de Hurbache",1,0,0,0,1,17,0
Jean Hangney,0,1,0,0,1,0,2
"B 2148; witch 001; Jean Bulme et Didiere sa femme, de Mazerulles",1,0,0,0,1,17,0
"B 2192 no 1; witch 138, Mengin Mathiotte de Mazerulles",1,0,0,0,1,18,0
Jean Micquel,0,1,0,0,1,0,1
Nicolas Villemin,0,1,0,0,1,0,1
"B 8700 no 3; witch 238, Marguitte veuve Jean Digard, de Raon",1,0,0,0,1,13,0
Royne femme a Bastien Ferry du ban le duc,0,1,0,0,1,0,1
Demenge Pierson,0,1,0,0,1,0,3
"B 3323 no 2; witch 026, Sebille femme Jean Pierson, de Leintrey",1,0,0,0,1,10,0
"B 3345; witch 047, Jeanne femme Demenge Mercier, d'Autrepierre",1,0,0,0,1,14,0
"B 3347 no 1; witch 048, Claude Henri, d'Autrepierre",1,0,0,0,1,30,0
Claudatte veuve Colas Houchard,0,1,0,0,1,0,1
Demenge Lucas of the same,0,1,0,0,1,0,1
"Witch 283; B 8715 no 6, Annon femme Jean Clauderat de Raon",1,0,0,0,1,5,0
Jannon femme Nicolas Napuel de Brouvelieures,0,1,0,0,1,0,1
"B 3789 no 2; witch 059, Georgeatte femme Colas Herteman, de Brouvelieures",1,0,0,0,1,20,0
Mongeatte femme Jean le Maire,0,1,0,0,1,0,1
"B 8691 no 14; witch 225, Jaulne femme Claudon Curien, de St Blaise",1,0,0,0,1,17,0
Jean Demenge Noel du Chanoy de Saulcy,0,1,0,0,1,0,1
"B 8717 no 2; witch 285, Marguitte femme Chrestien Colas Thierry, of le Chanoy de",1,0,0,0,1,13,0
Claudin Caillatte,0,1,0,0,1,0,1
"B 2199 no 4; witch 139, Mariette veuve Claude Malfourby, d'Amance",1,0,0,0,1,10,0
Nicolas Coupechausse,0,1,0,0,1,0,1
Colas Claudon Bertrand,0,1,0,0,1,0,1
"B 8730; witch 309, Fleuratte veuve Anthoine Valdexey, de Clefcy",1,0,0,0,1,10,0
Margueritte femme Hermans Hanns,0,1,0,0,1,0,1
Bastien Prevost d'Essegney,0,1,0,0,1,0,1
Mengeatte femme Jean Gerard de Brehimont,0,1,0,0,1,0,1
"B 8712 no 5; witch 276, Dieudonné Jean Thierion, of Brehimont",1,0,0,0,1,22,0
"Claudon Tontelat de Moyenmoutier
18 months earlier had exchanged a horse with he",0,1,0,0,1,0,1
B 8721 no 7. Witch 299; Babelon femme Mongeon Voirin de Moyenmoutier,1,0,0,0,1,22,0
Nicolas Lavelline,0,1,0,0,1,0,1
Margueritte femme Nicolas Simon,0,1,0,0,1,0,1
Adam Ganiel du Void de Belmont,0,1,0,0,1,0,1
Henry fils Nicolas Zabey,0,1,0,0,1,0,1
Claudon Demenge Jean Perry,0,1,0,0,1,0,1
"B 8678 no 3; witch 170, Demenge Milan, de Remomeix",1,0,0,0,1,13,0
Le maire Demenge Mareschal,0,1,0,0,1,0,1
Demenge Reillemant de la Chapelle,0,1,0,0,1,0,1
Jennon femme Dieudonné Coupechausse,0,1,0,0,1,0,1
Zabillon veuve Nicolas Sellier,0,1,0,0,1,0,1
Jean Venin,0,1,0,0,1,0,1
"B 2583 no 4; witch 018, Mengeotte femme Nicolas Colombain, de l'Estraye",1,0,0,0,1,30,0
Estienne Cherrier,0,1,0,0,1,0,1
"B 5327 no 1; witch 096, Colas Hardier de Mulcey",1,0,0,0,1,11,0
Nicolas George,0,1,0,0,1,0,1
Demenge de Nomeny,0,1,0,0,1,0,1
Jean Noel,0,1,0,0,1,0,2
"B 8281 no 1; witch 131, Jeanne femme Claudin Bigenel de Villers-sous-Preny",1,0,0,0,1,18,0
Jean Claude Jean Mengenot,0,1,0,0,1,0,1
"B 8687 no 2; witch 200, Marguitte femme Jean Jacquot, de la Vacherie",1,0,0,0,1,11,0
Barbe femme Thierion Thierion,0,1,0,0,1,0,1
"B 8979 no 4; witch 327, Mengeotte Gourdot, femme Jean Pierre Cordier de St Nicolas",1,0,0,0,1,5,0
Gurien Marie de la Chapelle,0,1,0,0,1,0,1
Noel Warin,0,1,0,0,1,0,1
"B 2203 no 2; witch 010, Jean Parmentier, de Champegnoult",1,0,0,0,1,11,0
Elizabethe femme Nicolas Bouchier de Bathelemont,0,1,0,0,1,0,1
Mengeon Napuel,0,1,0,0,1,0,1
Claudon des Rechez,0,1,0,0,1,0,1
"B 8700 no 1; witch 236, Colatte femme Colas Bertrand, du Vic, Ban-le-Duc de Clefcy",1,0,0,0,1,17,0
Claudatte fille feu Jean Demenge Perry,0,1,0,0,1,0,1
Claudon Gobel laboureur de St. Prancher,0,1,0,0,1,0,1
"B 4500 no 1 Witch 083, Jean et Claudin Aulbry",1,0,0,0,1,30,0
Nicolas Braconnier,0,1,0,0,1,0,1
Wautrin Fenestrier,0,1,0,0,1,0,1
Mengeotte femme Colas Ratonge,0,1,0,0,1,0,1
Nicolas Mariatte le jeune de Reillon,0,1,0,0,1,0,1
Izabel veuve Didier Barizien,0,1,0,0,1,0,1
Dedille femme Colas Claude Gerard de Brehimont,0,1,0,0,1,0,1
Toussainct Friche,0,1,0,0,1,0,1
Mengin Sauffroy labouraur de Brantigny,0,1,0,0,1,0,1
"B 4126 no 2 Witch 079, Claudon du Puy",1,0,0,0,1,15,0
Sebille fille de feu Harmant Aulbry de Charmes,0,1,0,0,1,0,1
Idatte veuve de Didier Gregy de Rugney,0,1,0,0,1,0,1
"B 4126 no 1 Witch 078, François Perin",1,0,0,0,1,8,0
Francois Naville paistre des menues bestes de Condé,0,1,0,0,1,0,1
"B 4998; witch 090, Gillette veuve Bastien Jean Page, de Condé (Custines)",1,0,0,0,1,16,0
Curien fils de Claudon Jean Claudon du Vivier,0,1,0,0,1,0,1
"B 8712 no 6; witch 277, Claudon Marchal du Vivier",1,0,0,0,1,25,0
Jean Thiebauld Michiel de Quebrux,0,1,0,0,1,0,1
"B 8675 no 1; witch 154, Gregoire Mathiel de Bertrimoutier",1,0,0,0,1,6,0
Honnble Gabriel Mercier,0,1,0,0,1,0,1
"B 8724 no 4. Witch 304, Anthoinette femme Didier Chaudron, de Raon",1,0,0,0,1,4,0
Sibille femme Demenge Brouvellant,0,1,0,0,1,0,1
"B 8687 no 5; witch 203, Dieudonnée femme Pierre Chrestien de Moriviller",1,0,0,0,1,15,0
Nicolas Charrey,0,1,0,0,1,0,1
Barbeline veuve Demenge Henriot,0,1,0,0,1,0,1
"B 3358; witch 050, Jehenne femme Joseph de la Moictresse, de Nutting",1,0,0,0,1,13,0
Claudot Cabled de la Neufville,0,1,0,0,1,0,1
"B 4500 no 3 Witch 085, Jacquotte Gardeux et Marie Canot",1,0,0,0,1,22,0
Claudot Henry,0,1,0,0,1,0,1
"B 7279; witch 118, Catherine Claude d'Azelot",1,0,0,0,1,20,0
Jennon femme Francois Cabuche,0,1,0,0,1,0,1
François Pelletier le jeune,0,1,0,0,1,0,1
"B 3335 no 2; witch 044, Hellenix femme Barthelemin le Reytre, de Blamont",1,0,0,0,1,14,0
Jennon veuve Claudon Aulbry,0,1,0,0,1,0,1
Jennon femme Jean Diez,0,1,0,0,1,0,1
Pieron Bocatte d'Essegney,0,1,0,0,1,0,1
Pierrot Poullet sergent,0,1,0,0,1,0,1
B 8941 no 1. Witch 317; Mengotte femme Pierre Gascon de St. Nicolas.,1,0,0,0,1,9,0
Sebille Cloutier veuve Colas Bourdaine,0,1,0,0,1,0,1
"B 3317 no 1; Witch 023, Didie veuve Demenge Pourlatte, de Blamont",1,0,0,0,1,22,0
Marguitte femme Didier Seigaire,0,1,0,0,1,0,1
"B 8687 no 10; witch 208, Mengeon Claude Perrin de Brehimont",1,0,0,0,1,18,0
Mengette femme a Jacquette Blaise du Viel Marché,0,1,0,0,1,0,1
"Witch 156: B8677 no 2, George de Hault of Clingotte.",1,0,0,0,1,26,0
Margueritte femme Jean Fercquel de Bathelemont,0,1,0,0,1,0,1
Jean de la Houtte de Laistre,0,1,0,0,1,0,1
"B 8680 no 2; witch 172, Demenge Martin, du Paire",1,0,0,0,1,16,0
Jehan Simon,0,1,0,0,1,0,1
"B 8691 no 18; witch 229, Idoult Charpentier, de la Chapelle",1,0,0,0,1,19,0
Perrin Boulengier laboureur de St. Prancher,0,1,0,0,1,0,1
Jean Collusse demeurant a Ranfaing,0,1,0,0,1,0,1
"B 2512; witch 012, Jacotte femme Demenge Romary Petit Colin, de Seuche",1,0,0,0,1,18,0
Didielle femme du precedent,0,1,0,0,1,0,1
"B 8682 no 9; witch 187, Claudatte femme Jean Parmentier, de Ste Marguerite",1,0,0,0,1,5,0
Antoine Masson de Dompierre,0,1,0,0,1,0,1
"B 3792 no 2; Witch 063, Jean Gerardin de Dompierre",1,0,0,0,1,14,0
Gergonne Guenaire,0,1,0,0,1,0,1
Le maire Nicolas George de Moriviller,0,1,0,0,1,0,1
Paul Jenin,0,1,0,0,1,0,1
Catherine femme Demenge Chevallier de Rozieres,0,1,0,0,1,0,1
"B 8535 no 5; witch 137, Margueritte veuve Claudon Forget de Rozieres",1,0,0,0,1,7,0
Jean Bertrand,0,1,0,0,1,0,3
B 8721 no 4. Witch 296; Hantzo Alexis of Wisembach,1,0,0,0,1,15,0
Bertremin Michel Flandrey du Faing,0,1,0,0,1,0,1
"B 8667 No 3 Witch 141, Mathieu Blaise",1,0,0,0,1,29,0
Jennon femme Claudon Xanrey,0,1,0,0,1,0,1
Jehennon veuve Claudon Roze de la Rochatte,0,1,0,0,1,0,1
Jean Tixerand,0,1,0,0,1,0,1
Vincent Laurent of Entre-deux-Eaux,0,1,0,0,1,0,1
"B 8717 no 5; witch 288, Demenge Mathis, of Entre-deux-Eaux",1,0,0,0,1,21,0
Annon femme de noble homme Gille Padoulx,0,1,0,0,1,0,1
Marguitte veuve Florentin Maron de St Remy,0,1,0,0,1,0,1
B 8708 no 5; witch 266; Jennon femme Claudon Girard de St Remy.,1,0,0,0,1,21,0
Magdelaine Mathis,0,1,0,0,1,0,1
Jean Petit Jean laboureur de St. Prancher,0,1,0,0,1,0,1
Odille,0,1,0,0,1,0,1
